Year,AC_Name,PC_Name,Party,Votes,Position
2014,Samserganj,Maldaha Dakshin,CPM,45416.0,Runner-Up
2014,Samserganj,Maldaha Dakshin,Others,51494.0,Others
2016,SAMSERGANJ,Maldaha Dakshin,AITC,48381.0,Winner
2016,SAMSERGANJ,Maldaha Dakshin,CPM,46601.0,Runner-Up
2016,SAMSERGANJ,Maldaha Dakshin,Others,64006.0,Others
2019,Samserganj,Maldaha Dakshin,INC,73054.0,Winner
2019,Samserganj,Maldaha Dakshin,AITC,65115.0,Runner-Up
2019,Samserganj,Maldaha Dakshin,Others,37756.0,Others
2021,SAMSERGANJ,Maldaha Dakshin,AITC,96417.0,Winner
2021,SAMSERGANJ,Maldaha Dakshin,INC,70038.0,Runner-Up
2021,SAMSERGANJ,Maldaha Dakshin,Others,22127.0,Others
2024,Samserganj,Maldaha Dakshin,INC,83619.0,Winner
2024,Samserganj,Maldaha Dakshin,AITC,69805.0,Runner-Up
2024,Samserganj,Maldaha Dakshin,Others,37256.0,Others
2009,Suti,Jangipur,INC,73009.0,Winner
2009,Suti,Jangipur,CPM,50722.0,Runner-Up
2009,Suti,Jangipur,Others,8604.0,Others
2011,SUTI,Jangipur,INC,73465.0,Winner
2011,SUTI,Jangipur,RSP,56056.0,Runner-Up
2011,SUTI,Jangipur,Others,20816.0,Others
2014,Suti,Jangipur,INC,51280.0,Winner
2014,Suti,Jangipur,CPM,49679.0,Runner-Up
2014,Suti,Jangipur,Others,64806.0,Others
2016,SUTI,Jangipur,INC,84017.0,Winner
2016,SUTI,Jangipur,AITC,80067.0,Runner-Up
2016,SUTI,Jangipur,Others,24138.0,Others
2019,Suti,Jangipur,AITC,94911.0,Winner
2019,Suti,Jangipur,BJP,50957.0,Runner-Up
2019,Suti,Jangipur,Others,53633.0,Others
2021,SUTI,Jangipur,AITC,127351.0,Winner
2021,SUTI,Jangipur,BJP,56650.0,Runner-Up
2021,SUTI,Jangipur,Others,32327.0,Others
2024,Suti,Jangipur,AITC,83094.0,Winner
2024,Suti,Jangipur,INC,63171.0,Runner-Up
2024,Suti,Jangipur,Others,60640.0,Others
2009,Jangipur,Jangipur,INC,75861.0,Winner
2009,Jangipur,Jangipur,CPM,50006.0,Runner-Up
2009,Jangipur,Jangipur,Others,7285.0,Others
2011,JANGIPUR,Jangipur,INC,68699.0,Winner
2011,JANGIPUR,Jangipur,CPM,62363.0,Runner-Up
2011,JANGIPUR,Jangipur,Others,15842.0,Others
2014,Jangipur,Jangipur,CPM,51925.0,Winner
2014,Jangipur,Jangipur,INC,43531.0,Runner-Up
2014,Jangipur,Jangipur,Others,66031.0,Others
2016,JANGIPUR,Jangipur,AITC,66869.0,Winner
2016,JANGIPUR,Jangipur,CPM,46236.0,Runner-Up
2016,JANGIPUR,Jangipur,Others,66483.0,Others
2019,Jangipur,Jangipur,AITC,79527.0,Winner
2019,Jangipur,Jangipur,BJP,66193.0,Runner-Up
2019,Jangipur,Jangipur,Others,49077.0,Others
2021,JANGIPUR,Jangipur,AITC,136444.0,Winner
2021,JANGIPUR,Jangipur,BJP,43964.0,Runner-Up
2021,JANGIPUR,Jangipur,Others,17855.0,Others
2024,Jangipur,Jangipur,BJP,73808.0,Winner
2024,Jangipur,Jangipur,AITC,70542.0,Runner-Up
2024,Jangipur,Jangipur,Others,59907.0,Others
2009,Raghunathganj,Jangipur,INC,68438.0,Winner
2009,Raghunathganj,Jangipur,CPM,51648.0,Runner-Up
2009,Raghunathganj,Jangipur,Others,6878.0,Others
2011,RAGHUNATHGANJ,Jangipur,INC,74683.0,Winner
2011,RAGHUNATHGANJ,Jangipur,RSP,59143.0,Runner-Up
2011,RAGHUNATHGANJ,Jangipur,Others,12652.0,Others
2014,Raghunathganj,Jangipur,INC,52456.0,Winner
2014,Raghunathganj,Jangipur,CPM,51130.0,Runner-Up
2014,Raghunathganj,Jangipur,Others,47558.0,Others
2016,RAGHUNATHGANJ,Jangipur,INC,78497.0,Winner
2016,RAGHUNATHGANJ,Jangipur,AITC,54711.0,Runner-Up
2016,RAGHUNATHGANJ,Jangipur,Others,32874.0,Others
2019,Raghunathganj,Jangipur,AITC,93156.0,Winner
2019,Raghunathganj,Jangipur,INC,30598.0,Runner-Up
2019,Raghunathganj,Jangipur,Others,56791.0,Others
2021,RAGHUNATHGANJ,Jangipur,AITC,126834.0,Winner
2021,RAGHUNATHGANJ,Jangipur,BJP,28521.0,Runner-Up
2021,RAGHUNATHGANJ,Jangipur,Others,35123.0,Others
2024,RaghunathGanj,Jangipur,AITC,77126.0,Winner
2024,RaghunathGanj,Jangipur,INC,73369.0,Runner-Up
2024,RaghunathGanj,Jangipur,Others,32822.0,Others
2009,Sagardighi,Jangipur,INC,75851.0,Winner
2009,Sagardighi,Jangipur,CPM,50272.0,Runner-Up
2009,Sagardighi,Jangipur,Others,6416.0,Others
2011,SAGARDIGHI,Jangipur,AITC,54708.0,Winner
2011,SAGARDIGHI,Jangipur,CPM,50134.0,Runner-Up
2011,SAGARDIGHI,Jangipur,Others,39034.0,Others
2014,Sagardighi,Jangipur,AITC,45326.0,Winner
2014,Sagardighi,Jangipur,CPM,43946.0,Runner-Up
2014,Sagardighi,Jangipur,Others,64367.0,Others
2016,SAGARDIGHI,Jangipur,AITC,44817.0,Winner
2016,SAGARDIGHI,Jangipur,INC,39603.0,Runner-Up
2016,SAGARDIGHI,Jangipur,Others,86445.0,Others
2019,Sagardighi,Jangipur,AITC,75374.0,Winner
2019,Sagardighi,Jangipur,BJP,41967.0,Runner-Up
2019,Sagardighi,Jangipur,Others,61902.0,Others
2021,SAGARDIGHI,Jangipur,AITC,95189.0,Winner
2021,SAGARDIGHI,Jangipur,BJP,44983.0,Runner-Up
2021,SAGARDIGHI,Jangipur,Others,46644.0,Others
2024,Sagardighi,Jangipur,AITC,82062.0,Winner
2024,Sagardighi,Jangipur,INC,50289.0,Runner-Up
2024,Sagardighi,Jangipur,Others,48233.0,Others
2009,Lalgola,Jangipur,INC,68707.0,Winner
2009,Lalgola,Jangipur,CPM,55680.0,Runner-Up
2009,Lalgola,Jangipur,Others,5488.0,Others
2011,LALGOLA,Jangipur,INC,74317.0,Winner
2011,LALGOLA,Jangipur,CPM,58133.0,Runner-Up
2011,LALGOLA,Jangipur,Others,10563.0,Others
2014,Lalgola,Jangipur,INC,63034.0,Winner
2014,Lalgola,Jangipur,CPM,50283.0,Runner-Up
2014,Lalgola,Jangipur,Others,39059.0,Others
2016,LALGOLA,Jangipur,INC,100110.0,Winner
2016,LALGOLA,Jangipur,AITC,46635.0,Runner-Up
2016,LALGOLA,Jangipur,Others,18567.0,Others
2019,Lalgola,Jangipur,AITC,65128.0,Winner
2019,Lalgola,Jangipur,INC,46588.0,Runner-Up
2019,Lalgola,Jangipur,Others,64012.0,Others
2021,LALGOLA,Jangipur,AITC,107860.0,Winner
2021,LALGOLA,Jangipur,INC,47153.0,Runner-Up
2021,LALGOLA,Jangipur,Others,35425.0,Others
2024,Lalgola,Jangipur,INC,81745.0,Winner
2024,Lalgola,Jangipur,AITC,67607.0,Runner-Up
2024,Lalgola,Jangipur,Others,34906.0,Others
2009,Bhagabangola,Murshidabad,INC,73078.0,Winner
2009,Bhagabangola,Murshidabad,CPM,63192.0,Runner-Up
2009,Bhagabangola,Murshidabad,Others,8272.0,Others
2011,BHAGABANGOLA,Murshidabad,SP,62862.0,Winner
2011,BHAGABANGOLA,Murshidabad,AITC,49528.0,Runner-Up
2011,BHAGABANGOLA,Murshidabad,Others,50358.0,Others
2014,Bhagawangola,Murshidabad,CPM,64039.0,Winner
2014,Bhagawangola,Murshidabad,INC,55526.0,Runner-Up
2014,Bhagawangola,Murshidabad,Others,62155.0,Others
2016,BHAGABANGOLA,Murshidabad,CPM,105037.0,Winner
2016,BHAGABANGOLA,Murshidabad,AITC,68732.0,Runner-Up
2016,BHAGABANGOLA,Murshidabad,Others,19353.0,Others
2019,Bhagawangola,Murshidabad,AITC,93108.0,Winner
2019,Bhagawangola,Murshidabad,INC,68136.0,Runner-Up
2019,Bhagawangola,Murshidabad,Others,47833.0,Others
2021,BHAGABANGOLA,Murshidabad,AITC,153795.0,Winner
2021,BHAGABANGOLA,Murshidabad,CPM,47787.0,Runner-Up
2021,BHAGABANGOLA,Murshidabad,Others,24408.0,Others
2024,Bhagabangola,Murshidabad,AITC,110857.0,Winner
2024,Bhagabangola,Murshidabad,CPI(M),87081.0,Runner-Up
2024,Bhagabangola,Murshidabad,Others,23253.0,Others
2009,Raninagar,Murshidabad,INC,69715.0,Winner
2009,Raninagar,Murshidabad,CPM,67295.0,Runner-Up
2009,Raninagar,Murshidabad,Others,8115.0,Others
2011,RANINAGAR,Murshidabad,INC,76092.0,Winner
2011,RANINAGAR,Murshidabad,AIFB,75003.0,Runner-Up
2011,RANINAGAR,Murshidabad,Others,12716.0,Others
2014,Raninagar,Murshidabad,CPM,69375.0,Winner
2014,Raninagar,Murshidabad,INC,66283.0,Runner-Up
2014,Raninagar,Murshidabad,Others,46565.0,Others
2016,RANINAGAR,Murshidabad,INC,111132.0,Winner
2016,RANINAGAR,Murshidabad,AITC,62750.0,Runner-Up
2016,RANINAGAR,Murshidabad,Others,16200.0,Others
2019,Raninagar,Murshidabad,AITC,94455.0,Winner
2019,Raninagar,Murshidabad,INC,54993.0,Runner-Up
2019,Raninagar,Murshidabad,Others,56819.0,Others
2021,RANINAGAR,Murshidabad,AITC,134957.0,Winner
2021,RANINAGAR,Murshidabad,INC,55255.0,Runner-Up
2021,RANINAGAR,Murshidabad,Others,31804.0,Others
2024,Raninagar,Murshidabad,CPI(M),96310.0,Winner
2024,Raninagar,Murshidabad,AITC,95589.0,Runner-Up
2024,Raninagar,Murshidabad,Others,25743.0,Others
2009,Murshidabad,Murshidabad,INC,61423.0,Winner
2009,Murshidabad,Murshidabad,CPM,59497.0,Runner-Up
2009,Murshidabad,Murshidabad,Others,24850.0,Others
2011,MURSHIDABAD,Murshidabad,INC,75441.0,Winner
2011,MURSHIDABAD,Murshidabad,AIFB,69089.0,Runner-Up
2011,MURSHIDABAD,Murshidabad,Others,19363.0,Others
2014,Murshidabad,Murshidabad,CPM,56515.0,Winner
2014,Murshidabad,Murshidabad,INC,56285.0,Runner-Up
2014,Murshidabad,Murshidabad,Others,76569.0,Others
2016,MURSHIDABAD,Murshidabad,INC,94579.0,Winner
2016,MURSHIDABAD,Murshidabad,AITC,69440.0,Runner-Up
2016,MURSHIDABAD,Murshidabad,Others,37131.0,Others
2019,Murshidabad,Murshidabad,BJP,80966.0,Winner
2019,Murshidabad,Murshidabad,AITC,77567.0,Runner-Up
2019,Murshidabad,Murshidabad,Others,59719.0,Others
2021,MURSHIDABAD,Murshidabad,BJP,95967.0,Winner
2021,MURSHIDABAD,Murshidabad,AITC,93476.0,Runner-Up
2021,MURSHIDABAD,Murshidabad,Others,39788.0,Others
2024,Murshidabad,Murshidabad,BJP,94164.0,Winner
2024,Murshidabad,Murshidabad,AITC,86313.0,Runner-Up
2024,Murshidabad,Murshidabad,Others,45373.0,Others
2009,Nabagram,Jangipur,INC,75033.0,Winner
2009,Nabagram,Jangipur,CPM,61973.0,Runner-Up
2009,Nabagram,Jangipur,Others,8121.0,Others
2011,NABAGRAM,Jangipur,CPM,78703.0,Winner
2011,NABAGRAM,Jangipur,INC,71147.0,Runner-Up
2011,NABAGRAM,Jangipur,Others,10844.0,Others
2014,Nabagram,Jangipur,CPM,67657.0,Winner
2014,Nabagram,Jangipur,INC,62780.0,Runner-Up
2014,Nabagram,Jangipur,Others,45375.0,Others
2016,NABAGRAM,Jangipur,CPM,99545.0,Winner
2016,NABAGRAM,Jangipur,AITC,61102.0,Runner-Up
2016,NABAGRAM,Jangipur,Others,21058.0,Others
2019,Nabagram,Jangipur,AITC,76574.0,Winner
2019,Nabagram,Jangipur,BJP,51757.0,Runner-Up
2019,Nabagram,Jangipur,Others,69797.0,Others
2021,NABAGRAM,Jangipur,AITC,100455.0,Winner
2021,NABAGRAM,Jangipur,BJP,64922.0,Runner-Up
2021,NABAGRAM,Jangipur,Others,43139.0,Others
2024,Nabagram,Jangipur,AITC,81122.0,Winner
2024,Nabagram,Jangipur,INC,61484.0,Runner-Up
2024,Nabagram,Jangipur,Others,64110.0,Others
2009,Khargram,Jangipur,INC,69532.0,Winner
2009,Khargram,Jangipur,CPM,57878.0,Runner-Up
2009,Khargram,Jangipur,Others,6138.0,Others
2011,KHARGRAM,Jangipur,INC,74093.0,Winner
2011,KHARGRAM,Jangipur,CPM,65123.0,Runner-Up
2011,KHARGRAM,Jangipur,Others,9083.0,Others
2014,Khargram,Jangipur,INC,61328.0,Winner
2014,Khargram,Jangipur,CPM,55097.0,Runner-Up
2014,Khargram,Jangipur,Others,41710.0,Others
2016,KHARGRAM,Jangipur,INC,88913.0,Winner
2016,KHARGRAM,Jangipur,AITC,55740.0,Runner-Up
2016,KHARGRAM,Jangipur,Others,17207.0,Others
2019,Khargram,Jangipur,AITC,77848.0,Winner
2019,Khargram,Jangipur,BJP,48374.0,Runner-Up
2019,Khargram,Jangipur,Others,48752.0,Others
2021,KHARGRAM,Jangipur,AITC,93255.0,Winner
2021,KHARGRAM,Jangipur,BJP,60682.0,Runner-Up
2021,KHARGRAM,Jangipur,Others,31999.0,Others
2024,Khargram,Jangipur,AITC,81896.0,Winner
2024,Khargram,Jangipur,BJP,54748.0,Runner-Up
2024,Khargram,Jangipur,Others,47146.0,Others
2009,Burwan,Baharampur,INC,68305.0,Winner
2009,Burwan,Baharampur,RSP,50607.0,Runner-Up
2009,Burwan,Baharampur,Others,6888.0,Others
2011,BURWAN,Baharampur,INC,66304.0,Winner
2011,BURWAN,Baharampur,RSP,65688.0,Runner-Up
2011,BURWAN,Baharampur,Others,8809.0,Others
2014,Burwan,Baharampur,INC,70213.0,Winner
2014,Burwan,Baharampur,RSP,38724.0,Runner-Up
2014,Burwan,Baharampur,Others,37622.0,Others
2016,BURWAN,Baharampur,INC,55906.0,Winner
2016,BURWAN,Baharampur,AITC,40904.0,Runner-Up
2016,BURWAN,Baharampur,Others,54740.0,Others
2019,Burwan,Baharampur,INC,65513.0,Winner
2019,Burwan,Baharampur,AITC,61712.0,Runner-Up
2019,Burwan,Baharampur,Others,37902.0,Others
2021,BURWAN,Baharampur,AITC,81890.0,Winner
2021,BURWAN,Baharampur,BJP,79141.0,Runner-Up
2021,BURWAN,Baharampur,Others,15772.0,Others
2024,Burwan,Baharampur,BJP,63476.0,Winner
2024,Burwan,Baharampur,AITC,62918.0,Runner-Up
2024,Burwan,Baharampur,Others,45741.0,Others
2009,Kandi,Baharampur,INC,76527.0,Winner
2009,Kandi,Baharampur,RSP,42023.0,Runner-Up
2009,Kandi,Baharampur,Others,8637.0,Others
2011,KANDI,Baharampur,INC,66513.0,Winner
2011,KANDI,Baharampur,CPI,58703.0,Runner-Up
2011,KANDI,Baharampur,Others,19071.0,Others
2014,Kandi,Baharampur,INC,82879.0,Winner
2014,Kandi,Baharampur,AITC,41312.0,Runner-Up
2014,Kandi,Baharampur,Others,30485.0,Others
2016,KANDI,Baharampur,INC,81723.0,Winner
2016,KANDI,Baharampur,AITC,60943.0,Runner-Up
2016,KANDI,Baharampur,Others,16887.0,Others
2019,Kandi,Baharampur,INC,95290.0,Winner
2019,Kandi,Baharampur,AITC,59419.0,Runner-Up
2019,Kandi,Baharampur,Others,20387.0,Others
2021,KANDI,Baharampur,AITC,95399.0,Winner
2021,KANDI,Baharampur,BJP,57319.0,Runner-Up
2021,KANDI,Baharampur,Others,33763.0,Others
2024,Kandi,Baharampur,AITC,72763.0,Winner
2024,Kandi,Baharampur,INC,59808.0,Runner-Up
2024,Kandi,Baharampur,Others,56335.0,Others
2009,Bharatpur,Baharampur,INC,68328.0,Winner
2009,Bharatpur,Baharampur,RSP,53913.0,Runner-Up
2009,Bharatpur,Baharampur,Others,6748.0,Others
2011,BHARATPUR,Baharampur,RSP,70658.0,Winner
2011,BHARATPUR,Baharampur,INC,68729.0,Runner-Up
2011,BHARATPUR,Baharampur,Others,8488.0,Others
2014,Bharatpur,Baharampur,INC,81711.0,Winner
2014,Bharatpur,Baharampur,AITC,34329.0,Runner-Up
2014,Bharatpur,Baharampur,Others,43958.0,Others
2016,BHARATPUR,Baharampur,INC,59789.0,Winner
2016,BHARATPUR,Baharampur,AITC,48772.0,Runner-Up
2016,BHARATPUR,Baharampur,Others,56702.0,Others
2019,Bharatpur,Baharampur,AITC,81200.0,Winner
2019,Bharatpur,Baharampur,INC,73511.0,Runner-Up
2019,Bharatpur,Baharampur,Others,24306.0,Others
2021,BHARATPUR,Baharampur,AITC,96226.0,Winner
2021,BHARATPUR,Baharampur,BJP,53143.0,Runner-Up
2021,BHARATPUR,Baharampur,Others,39678.0,Others
2024,Bharatpur,Baharampur,AITC,78514.0,Winner
2024,Bharatpur,Baharampur,INC,59956.0,Runner-Up
2024,Bharatpur,Baharampur,Others,47237.0,Others
2009,Rejinagar,Baharampur,INC,73525.0,Winner
2009,Rejinagar,Baharampur,RSP,58874.0,Runner-Up
2009,Rejinagar,Baharampur,Others,7066.0,Others
2011,REJINAGAR,Baharampur,INC,77542.0,Winner
2011,REJINAGAR,Baharampur,RSP,68781.0,Runner-Up
2011,REJINAGAR,Baharampur,Others,9564.0,Others
2014,Rejinagar,Baharampur,INC,77027.0,Winner
2014,Rejinagar,Baharampur,AITC,43509.0,Runner-Up
2014,Rejinagar,Baharampur,Others,50687.0,Others
2016,REJINAGAR,Baharampur,INC,79770.0,Winner
2016,REJINAGAR,Baharampur,IND,74210.0,Runner-Up
2016,REJINAGAR,Baharampur,Others,31013.0,Others
2019,Rejinagar,Baharampur,AITC,99691.0,Winner
2019,Rejinagar,Baharampur,INC,64309.0,Runner-Up
2019,Rejinagar,Baharampur,Others,30054.0,Others
2021,REJINAGAR,Baharampur,AITC,118494.0,Winner
2021,REJINAGAR,Baharampur,BJP,50226.0,Runner-Up
2021,REJINAGAR,Baharampur,Others,41725.0,Others
2024,Rejinagar,Baharampur,AITC,96834.0,Winner
2024,Rejinagar,Baharampur,INC,54706.0,Runner-Up
2024,Rejinagar,Baharampur,Others,56371.0,Others
2009,Beldanga,Baharampur,INC,78955.0,Winner
2009,Beldanga,Baharampur,RSP,45643.0,Runner-Up
2009,Beldanga,Baharampur,Others,8152.0,Others
2011,BELDANGA,Baharampur,INC,67888.0,Winner
2011,BELDANGA,Baharampur,RSP,54005.0,Runner-Up
2011,BELDANGA,Baharampur,Others,27918.0,Others
2014,Beldanga,Baharampur,INC,80071.0,Winner
2014,Beldanga,Baharampur,RSP,36833.0,Runner-Up
2014,Beldanga,Baharampur,Others,49575.0,Others
2016,BELDANGA,Baharampur,INC,87017.0,Winner
2016,BELDANGA,Baharampur,AITC,56736.0,Runner-Up
2016,BELDANGA,Baharampur,Others,32297.0,Others
2019,Beldanga,Baharampur,AITC,83992.0,Winner
2019,Beldanga,Baharampur,INC,80904.0,Runner-Up
2019,Beldanga,Baharampur,Others,26546.0,Others
2021,BELDANGA,Baharampur,AITC,112862.0,Winner
2021,BELDANGA,Baharampur,BJP,59030.0,Runner-Up
2021,BELDANGA,Baharampur,Others,32619.0,Others
2024,Beldanga,Baharampur,AITC,77122.0,Winner
2024,Beldanga,Baharampur,INC,72667.0,Runner-Up
2024,Beldanga,Baharampur,Others,55327.0,Others
2009,Baharampur,Baharampur,INC,102558.0,Winner
2009,Baharampur,Baharampur,RSP,37825.0,Runner-Up
2009,Baharampur,Baharampur,Others,11123.0,Others
2011,BAHARAMPUR,Baharampur,INC,91578.0,Winner
2011,BAHARAMPUR,Baharampur,RSP,48265.0,Runner-Up
2011,BAHARAMPUR,Baharampur,Others,26978.0,Others
2014,Baharampur,Baharampur,INC,108678.0,Winner
2014,Baharampur,Baharampur,AITC,31382.0,Runner-Up
2014,Baharampur,Baharampur,Others,47603.0,Others
2016,BAHARAMPUR,Baharampur,INC,127762.0,Winner
2016,BAHARAMPUR,Baharampur,AITC,35489.0,Runner-Up
2016,BAHARAMPUR,Baharampur,Others,24936.0,Others
2019,Baharampur,Baharampur,INC,130190.0,Winner
2019,Baharampur,Baharampur,AITC,41129.0,Runner-Up
2019,Baharampur,Baharampur,Others,31817.0,Others
2021,BAHARAMPUR,Baharampur,BJP,89340.0,Winner
2021,BAHARAMPUR,Baharampur,AITC,62488.0,Runner-Up
2021,BAHARAMPUR,Baharampur,Others,45779.0,Others
2024,Baharampur,Baharampur,INC,83401.0,Winner
2024,Baharampur,Baharampur,BJP,76474.0,Runner-Up
2024,Baharampur,Baharampur,Others,51427.0,Others
2009,Hariharpara,Murshidabad,INC,66542.0,Winner
2009,Hariharpara,Murshidabad,CPM,64041.0,Runner-Up
2009,Hariharpara,Murshidabad,Others,13854.0,Others
2011,HARIHARPARA,Murshidabad,CPM,58293.0,Winner
2011,HARIHARPARA,Murshidabad,AITC,51935.0,Runner-Up
2011,HARIHARPARA,Murshidabad,Others,53691.0,Others
2014,Hariharpara,Murshidabad,INC,58174.0,Winner
2014,Hariharpara,Murshidabad,CPM,52300.0,Runner-Up
2014,Hariharpara,Murshidabad,Others,64832.0,Others
2016,HARIHARPARA,Murshidabad,AITC,71502.0,Winner
2016,HARIHARPARA,Murshidabad,INC,66499.0,Runner-Up
2016,HARIHARPARA,Murshidabad,Others,51290.0,Others
2019,Hariharpara,Murshidabad,AITC,87139.0,Winner
2019,Hariharpara,Murshidabad,INC,67329.0,Runner-Up
2019,Hariharpara,Murshidabad,Others,43533.0,Others
2021,HARIHARPARA,Murshidabad,AITC,102660.0,Winner
2021,HARIHARPARA,Murshidabad,INC,88594.0,Runner-Up
2021,HARIHARPARA,Murshidabad,Others,24821.0,Others
2024,Hariharpara,Murshidabad,AITC,97299.0,Winner
2024,Hariharpara,Murshidabad,CPI(M),74917.0,Runner-Up
2024,Hariharpara,Murshidabad,Others,33342.0,Others
2009,Naoda,Baharampur,INC,72934.0,Winner
2009,Naoda,Baharampur,RSP,65296.0,Runner-Up
2009,Naoda,Baharampur,Others,6691.0,Others
2011,NAODA,Baharampur,INC,80758.0,Winner
2011,NAODA,Baharampur,RSP,66963.0,Runner-Up
2011,NAODA,Baharampur,Others,8787.0,Others
2014,Nowda,Baharampur,INC,82614.0,Winner
2014,Nowda,Baharampur,RSP,42315.0,Runner-Up
2014,Nowda,Baharampur,Others,42543.0,Others
2016,NAODA,Baharampur,INC,62639.0,Winner
2016,NAODA,Baharampur,AITC,43377.0,Runner-Up
2016,NAODA,Baharampur,Others,75740.0,Others
2019,Nowda,Baharampur,AITC,82743.0,Winner
2019,Nowda,Baharampur,INC,79863.0,Runner-Up
2019,Nowda,Baharampur,Others,25579.0,Others
2021,NAODA,Baharampur,AITC,117684.0,Winner
2021,NAODA,Baharampur,BJP,43531.0,Runner-Up
2021,NAODA,Baharampur,Others,41134.0,Others
2024,Naoda,Baharampur,AITC,88485.0,Winner
2024,Naoda,Baharampur,INC,68569.0,Runner-Up
2024,Naoda,Baharampur,Others,45376.0,Others
2009,Domkal,Murshidabad,INC,78946.0,Winner
2009,Domkal,Murshidabad,CPM,67746.0,Runner-Up
2009,Domkal,Murshidabad,Others,6398.0,Others
2011,DOMKAL,Murshidabad,CPM,81812.0,Winner
2011,DOMKAL,Murshidabad,INC,78737.0,Runner-Up
2011,DOMKAL,Murshidabad,Others,12705.0,Others
2014,Domkal,Murshidabad,INC,90277.0,Winner
2014,Domkal,Murshidabad,CPM,57139.0,Runner-Up
2014,Domkal,Murshidabad,Others,39011.0,Others
2016,DOMKAL,Murshidabad,CPM,71703.0,Winner
2016,DOMKAL,Murshidabad,AITC,64813.0,Runner-Up
2016,DOMKAL,Murshidabad,Others,59446.0,Others
2019,Domkal,Murshidabad,AITC,84808.0,Winner
2019,Domkal,Murshidabad,INC,71112.0,Runner-Up
2019,Domkal,Murshidabad,Others,51186.0,Others
2021,DOMKAL,Murshidabad,AITC,127671.0,Winner
2021,DOMKAL,Murshidabad,CPM,80442.0,Runner-Up
2021,DOMKAL,Murshidabad,Others,18070.0,Others
2024,Domkal,Murshidabad,AITC,108805.0,Winner
2024,Domkal,Murshidabad,CPI(M),95334.0,Runner-Up
2024,Domkal,Murshidabad,Others,16610.0,Others
2009,Jalangi,Murshidabad,CPM,73873.0,Winner
2009,Jalangi,Murshidabad,INC,72040.0,Runner-Up
2009,Jalangi,Murshidabad,Others,9354.0,Others
2011,JALANGI,Murshidabad,CPM,85144.0,Winner
2011,JALANGI,Murshidabad,AITC,47283.0,Runner-Up
2011,JALANGI,Murshidabad,Others,39407.0,Others
2014,Jalangi,Murshidabad,CPM,66216.0,Winner
2014,Jalangi,Murshidabad,INC,51609.0,Runner-Up
2014,Jalangi,Murshidabad,Others,65350.0,Others
2016,JALANGI,Murshidabad,CPM,96250.0,Winner
2016,JALANGI,Murshidabad,AITC,70983.0,Runner-Up
2016,JALANGI,Murshidabad,Others,24293.0,Others
2019,Jalangi,Murshidabad,AITC,79434.0,Winner
2019,Jalangi,Murshidabad,INC,54757.0,Runner-Up
2019,Jalangi,Murshidabad,Others,72847.0,Others
2021,JALANGI,Murshidabad,AITC,123840.0,Winner
2021,JALANGI,Murshidabad,CPM,44564.0,Runner-Up
2021,JALANGI,Murshidabad,Others,53763.0,Others
2024,Jalangi,Murshidabad,AITC,89482.0,Winner
2024,Jalangi,Murshidabad,CPI(M),83724.0,Runner-Up
2024,Jalangi,Murshidabad,Others,44713.0,Others
2009,Karimpur,Murshidabad,INC,74190.0,Winner
2009,Karimpur,Murshidabad,CPM,64236.0,Runner-Up
2009,Karimpur,Murshidabad,Others,23459.0,Others
2011,KARIMPUR,Murshidabad,CPM,82244.0,Winner
2011,KARIMPUR,Murshidabad,AITC,77159.0,Runner-Up
2011,KARIMPUR,Murshidabad,Others,18715.0,Others
2014,Karimpur,Murshidabad,CPM,61274.0,Winner
2014,Karimpur,Murshidabad,AITC,54560.0,Runner-Up
2014,Karimpur,Murshidabad,Others,73441.0,Others
2016,KARIMPUR,Murshidabad,AITC,90989.0,Winner
2016,KARIMPUR,Murshidabad,CPM,75000.0,Runner-Up
2016,KARIMPUR,Murshidabad,Others,35117.0,Others
2019,Karimpur,Murshidabad,AITC,87513.0,Winner
2019,Karimpur,Murshidabad,BJP,73173.0,Runner-Up
2019,Karimpur,Murshidabad,Others,45556.0,Others
2021,KARIMPUR,Murshidabad,AITC,110911.0,Winner
2021,KARIMPUR,Murshidabad,BJP,87336.0,Runner-Up
2021,KARIMPUR,Murshidabad,Others,23259.0,Others
2024,Karimpur,Murshidabad,AITC,93329.0,Winner
2024,Karimpur,Murshidabad,BJP,81006.0,Runner-Up
2024,Karimpur,Murshidabad,Others,42723.0,Others
2009,Tehatta,Krishnanagar,AITC,74074.0,Winner
2009,Tehatta,Krishnanagar,CPM,63924.0,Runner-Up
2009,Tehatta,Krishnanagar,Others,24084.0,Others
2011,TEHATTA,Krishnanagar,CPM,75445.0,Winner
2011,TEHATTA,Krishnanagar,IND,56248.0,Runner-Up
2011,TEHATTA,Krishnanagar,Others,44652.0,Others
2014,Tehatta,Krishnanagar,AITC,75175.0,Winner
2014,Tehatta,Krishnanagar,CPM,60541.0,Runner-Up
2014,Tehatta,Krishnanagar,Others,54648.0,Others
2016,TEHATTA,Krishnanagar,AITC,97611.0,Winner
2016,TEHATTA,Krishnanagar,CPM,80215.0,Runner-Up
2016,TEHATTA,Krishnanagar,Others,21234.0,Others
2019,Tehatta,Krishnanagar,BJP,89430.0,Winner
2019,Tehatta,Krishnanagar,AITC,87369.0,Runner-Up
2019,Tehatta,Krishnanagar,Others,28112.0,Others
2021,TEHATTA,Krishnanagar,AITC,97848.0,Winner
2021,TEHATTA,Krishnanagar,BJP,90933.0,Runner-Up
