AC_No,AC_Name,PC_Name,Winner_Party,Winner_Votes,Runner_Votes,Runner_Party,Total_Votes,Year,Election_Type,Margin_Votes,Margin_Percent
282.0,Kulti,Asansol,AITC,61984.0,40307.0,CPM,117357.0,2009,Lok Sabha,21677.0,18.4709902264032
282.0,KULTI,Asansol,AITC,77610.0,49044.0,AIFB,138355.0,2011,Vidhan Sabha,28566.0,20.64688663221423
282.0,Kulti,Asansol,BJP,80848.0,40563.0,AITC,159975.0,2014,Lok Sabha,40285.0,25.18205969682763
282.0,KULTI,Asansol,AITC,68952.0,49464.0,BJP,168963.0,2016,Vidhan Sabha,19488.0,11.533886117078888
282.0,Kulti,Asansol,BJP,105176.0,55825.0,AITC,178078.0,2019,Lok Sabha,49351.0,27.713136939992587
282.0,KULTI,Asansol,BJP,81112.0,80433.0,AITC,174767.0,2021,Vidhan Sabha,679.0,0.3885172830110947
282.0,Kulti,Asansol,BJP,94108.0,79055.0,AITC,184018.0,2024,Lok Sabha,15053.0,8.180178026062668
283.0,Barabani,Asansol,AITC,56957.0,54682.0,CPM,126199.0,2009,Lok Sabha,2275.0,1.8027084208274233
283.0,BARBANI,Asansol,AITC,78628.0,58051.0,CPM,148578.0,2011,Vidhan Sabha,20577.0,13.84929128134717
283.0,Barbani,Asansol,BJP,49986.0,48573.0,AITC,160432.0,2014,Lok Sabha,1413.0,0.8807469831455071
283.0,BARBANI,Asansol,AITC,77464.0,53415.0,CPM,164376.0,2016,Vidhan Sabha,24049.0,14.630481335474766
283.0,Barbani,Asansol,BJP,79281.0,61406.0,AITC,165974.0,2019,Lok Sabha,17875.0,10.769759118898142
283.0,BARBANI,Asansol,AITC,88430.0,64973.0,BJP,169207.0,2021,Vidhan Sabha,23457.0,13.8629016530049
283.0,Barabani,Asansol,AITC,89042.0,63519.0,BJP,171846.0,2024,Lok Sabha,25523.0,14.852251434423843
284.0,Dubrajpur,Birbhum,CPM,65496.0,57051.0,AITC,139302.0,2009,Lok Sabha,8445.0,6.062368092346126
